type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340234347,-82.57434709,27.3340234347,-82.57434709,,True,True,,,20.32,,,2019/06/14 11:24:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:24:22,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340724688,-82.5741023384,27.3340724688,-82.5741023384,,False,False,,,18.4,,,2019/06/14 11:24:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:24:32,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340888973,-82.5739282463,27.3340888973,-82.5739282463,,False,False,,,17.44,,,2019/06/14 11:24:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:24:42,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.334078839,-82.5737397373,27.334078839,-82.5737397373,,False,False,,,17.44,,,2019/06/14 11:24:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:24:52,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340773303,-82.5735711772,27.3340773303,-82.5735711772,,False,False,,,16.96,,,2019/06/14 11:25:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:02,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340912443,-82.5733578578,27.3340912443,-82.5733578578,,False,False,,,17.44,,,2019/06/14 11:25:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:12,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341171443,-82.5731705222,27.3341171443,-82.5731705222,,False,False,,,16.48,,,2019/06/14 11:25:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:22,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341426253,-82.5730034709,27.3341426253,-82.5730034709,,False,False,,,16,,,2019/06/14 11:25:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:32,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341472354,-82.5728528481,27.3341472354,-82.5728528481,,False,False,,,16.48,,,2019/06/14 11:25:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:42,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341437988,-82.5726971962,27.3341437988,-82.5726971962,,False,False,,,17.92,,,2019/06/14 11:25:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:25:52,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341391049,-82.5725653488,27.3341391049,-82.5725653488,,False,False,,,18.88,,,2019/06/14 11:26:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:26:02,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341353331,-82.5724268798,27.3341353331,-82.5724268798,,False,False,,,18.4,,,2019/06/14 11:26:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:26:12,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3341168091,-82.5722775143,27.3341168091,-82.5722775143,,False,False,,,19.36,,,2019/06/14 11:26:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:26:22,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340868019,-82.5721230358,27.3340868019,-82.5721230358,,False,False,,,19.84,,,2019/06/14 11:26:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:26:32,,
TRACK,Current Track: 14 JUN 2019 06:38,T1,27.3340749834,-82.5719734188,27.3340749834,-82.5719734188,,False,False,,,19.84,,,2019/06/14 11:26:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/14 07:26:42,,
