type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3334559798,-82.5742764305,27.3334559798,-82.5742764305,,True,True,,,17.44,,,2019/06/13 11:18:11+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:18:11,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3333829734,-82.5742029212,27.3333829734,-82.5742029212,,False,False,,,15.52,,,2019/06/13 11:18:21+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:18:21,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3332957178,-82.5741043501,27.3332957178,-82.5741043501,,False,False,,,15.52,,,2019/06/13 11:18:31+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:18:31,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3332346138,-82.5740123168,27.3332346138,-82.5740123168,,False,False,,,11.19,,,2019/06/13 11:18:41+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:18:41,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331802152,-82.5739134103,27.3331802152,-82.5739134103,,False,False,,,7.35,,,2019/06/13 11:18:51+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:18:51,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331481125,-82.5738083012,27.3331481125,-82.5738083012,,False,False,,,4.94,,,2019/06/13 11:19:01+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:01,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331328575,-82.5736930501,27.3331328575,-82.5736930501,,False,False,,,3.5,,,2019/06/13 11:19:11+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:11,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331207875,-82.573571261,27.3331207875,-82.573571261,,False,False,,,3.02,,,2019/06/13 11:19:21+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:21,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331121542,-82.5734501425,27.3331121542,-82.5734501425,,False,False,,,3.02,,,2019/06/13 11:19:31+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:31,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.333126571,-82.5733300298,27.333126571,-82.5733300298,,False,False,,,3.02,,,2019/06/13 11:19:41+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:41,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3331837356,-82.5732181314,27.3331837356,-82.5732181314,,False,False,,,2.54,,,2019/06/13 11:19:51+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:19:51,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3332717456,-82.573144706,27.3332717456,-82.573144706,,False,False,,,2.06,,,2019/06/13 11:20:01+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:01,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3333478533,-82.5730276108,27.3333478533,-82.5730276108,,False,False,,,2.06,,,2019/06/13 11:20:11+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:11,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3334261402,-82.5728389341,27.3334261402,-82.5728389341,,False,False,,,2.06,,,2019/06/13 11:20:21+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:21,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3335315008,-82.5726028997,27.3335315008,-82.5726028997,,False,False,,,2.06,,,2019/06/13 11:20:31+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:31,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3336525355,-82.5723914243,27.3336525355,-82.5723914243,,False,False,,,2.06,,,2019/06/13 11:20:41+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:41,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.333751861,-82.5721960422,27.333751861,-82.5721960422,,False,False,,,2.06,,,2019/06/13 11:20:51+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:20:51,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3338321596,-82.5719862431,27.3338321596,-82.5719862431,,False,False,,,0.62,,,2019/06/13 11:21:01+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:21:01,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.333887564,-82.5717715826,27.333887564,-82.5717715826,,False,False,,,2.06,,,2019/06/13 11:21:11+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:21:11,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3339660186,-82.5715816487,27.3339660186,-82.5715816487,,False,False,,,2.06,,,2019/06/13 11:21:21+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:21:21,,
TRACK,Current Track: 12 JUN 2019 14:43,T1,27.3340438027,-82.5714066345,27.3340438027,-82.5714066345,,False,False,,,3.02,,,2019/06/13 11:21:31+00,garmin GPSMAP 78sc Software Version 690,,2019/06/13 07:21:31,,
