type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3329263274,-82.5734263379,27.3329263274,-82.5734263379,,True,True,,,-11.88,,,2019/06/10 11:42:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:42:42,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.332910737,-82.5732864439,27.332910737,-82.5732864439,,False,False,,,-9.48,,,2019/06/10 11:42:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:42:52,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.332975613,-82.5731459633,27.332975613,-82.5731459633,,False,False,,,-5.63,,,2019/06/10 11:43:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:02,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3330492061,-82.5730081648,27.3330492061,-82.5730081648,,False,False,,,-3.23,,,2019/06/10 11:43:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:12,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3330967315,-82.5728550274,27.3330967315,-82.5728550274,,False,False,,,-0.34,,,2019/06/10 11:43:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:22,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3331695702,-82.5726993755,27.3331695702,-82.5726993755,,False,False,,,1.1,,,2019/06/10 11:43:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:32,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3332392238,-82.5725617446,27.3332392238,-82.5725617446,,False,False,,,2.06,,,2019/06/10 11:43:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:42,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3333030939,-82.5723940227,27.3333030939,-82.5723940227,,False,False,,,3.02,,,2019/06/10 11:43:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:43:52,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3334113043,-82.5722194277,27.3334113043,-82.5722194277,,False,False,,,3.02,,,2019/06/10 11:44:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:02,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3334794492,-82.5720242132,27.3334794492,-82.5720242132,,False,False,,,3.5,,,2019/06/10 11:44:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:12,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3335342668,-82.571827909,27.3335342668,-82.571827909,,False,False,,,4.46,,,2019/06/10 11:44:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:22,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3335922696,-82.5716151763,27.3335922696,-82.5716151763,,False,False,,,4.94,,,2019/06/10 11:44:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:32,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3336496856,-82.5714073889,27.3336496856,-82.5714073889,,False,False,,,4.46,,,2019/06/10 11:44:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:42,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3337101191,-82.5711997692,27.3337101191,-82.5711997692,,False,False,,,4.94,,,2019/06/10 11:44:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:44:52,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3337756656,-82.5709914789,27.3337756656,-82.5709914789,,False,False,,,4.94,,,2019/06/10 11:45:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:45:02,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3338175751,-82.5707938336,27.3338175751,-82.5707938336,,False,False,,,4.94,,,2019/06/10 11:45:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:45:12,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3338641785,-82.5705970265,27.3338641785,-82.5705970265,,False,False,,,5.42,,,2019/06/10 11:45:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:45:22,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3338950239,-82.5703806896,27.3338950239,-82.5703806896,,False,False,,,5.42,,,2019/06/10 11:45:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:45:32,,
TRACK,Current Track: 08 JUN 2019 20:54,T1,27.3339226004,-82.570183631,27.3339226004,-82.570183631,,False,False,,,5.42,,,2019/06/10 11:45:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/10 07:45:42,,
