type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3286756966,-82.5570618454,27.3286756966,-82.5570618454,,True,True,,,-5.15,,,2019/06/11 11:35:20+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:35:20,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3287660535,-82.5571615063,27.3287660535,-82.5571615063,,False,False,,,-5.63,,,2019/06/11 11:35:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:35:32,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3286487907,-82.5571298227,27.3286487907,-82.5571298227,,False,False,,,-8.51,,,2019/06/11 11:35:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:35:42,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3285489623,-82.5571006536,27.3285489623,-82.5571006536,,False,False,,,-9,,,2019/06/11 11:35:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:35:52,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3284326214,-82.5570761785,27.3284326214,-82.5570761785,,False,False,,,-6.11,,,2019/06/11 11:36:02+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:02,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3284664843,-82.5571781024,27.3284664843,-82.5571781024,,False,False,,,-3.71,,,2019/06/11 11:36:12+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:12,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3286450189,-82.5572189223,27.3286450189,-82.5572189223,,False,False,,,-0.82,,,2019/06/11 11:36:22+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:22,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3288922012,-82.5572117977,27.3288922012,-82.5572117977,,False,False,,,1.1,,,2019/06/11 11:36:32+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:32,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3291662056,-82.5572435651,27.3291662056,-82.5572435651,,False,False,,,3.98,,,2019/06/11 11:36:42+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:42,,
TRACK,Current Track: 11 JUN 2019 07:35,T1,27.3294358514,-82.5572909229,27.3294358514,-82.5572909229,,False,False,,,5.42,,,2019/06/11 11:36:52+00,garmin GPSMAP 78sc Software Version 690,,2019/06/11 07:36:52,,
