"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","X48","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Track.Lat.WGS","Track.Lon.WGS","Track.Lat.UTM","Track.Lon.UTM","Dolphin.Lon","Dolphin.Lat","Dolphin.Lat.WGS","Dolphin.Lon.WGS","Dolphin.Lat.UTM","Dolphin.Lon.UTM","dist.UTM","dist.WGS","LS.dist.UTM","LS.dist.WGS","PTT"
"11",12,179062,"F283",2019-06-13,14:31:44,-58,00:00:58,04:00:00,10:30:46,11,10:30:48,00:00:02,NA,50,50,NA,235,"Y","Y","Y","Y","TR",146,NA,3,7,1,6,7.6,-1.1,27.4788,-82.7001,10:30:48,10:30:51,27.47899516,-82.69989459,00:00:03,00:00:05,27.478767,-82.700138,-26,6,-0.068125,9.944631,20.673894,0,2.368744,"was implausaible. Now closer.",27.4788,-82.7001,1274639.55009893,-10257541.3603634,27.478767,-82.700138,1274635.6511919,-10257539.5491593,27.47899516,-82.69989459,1274660.54916554,-10257551.3781657,-82.7003090100953,27.4787363511782,27.4787363511782,-82.7003090100953,1274617.56734197,-10257532.9943241,23.5208889457815,21.8275934473454,19.235162909821,17.238971225168,"179062"
"12",15,179062,"F283",2019-06-14,16:43:07,-64,00:01:04,04:00:00,12:42:03,12,12:42:05,00:00:02,NA,10,10,NA,150,"Y","Y","Y","Y","TR",394,"FR 35 Cam B",1,4,NA,4,42.2,6.2,27.4526,-82.6388,12:42:05,12:42:02,27.47882023,-82.66465732,00:00:03,00:00:01,27.48161,-82.666719,-26,4,-0.495,0,0,0,11.162634,NA,27.4526,-82.6388,1281292.81147871,-10259384.6692369,27.48161,-82.666719,1278184.01593315,-10258778.1537751,27.47882023,-82.66465732,1278416.5206241,-10258814.232408,-82.6646067286452,27.4787420766816,27.4787420766816,-82.6646067286452,1278422.27056729,-10258814.9855292,2926.52432946795,3859.82257076801,241.084733665734,380.229232376816,"179062"
"13",16,179062,"F283",2019-06-14,16:53:46,-64,00:01:04,04:00:00,12:52:42,13,12:52:44,00:00:02,NA,60,60,NA,315,"Y","Y","Y","Y","TR",410,NA,1,4,NA,4,9.3,6.2,27.5227,-82.6556,12:52:44,12:52:42,27.47695869,-82.66948571,00:00:02,00:00:00,27.481941,-82.668708,-26,4,0.475,0,0,0,2.528775,NA,27.5227,-82.6556,1279180.10047855,-10259737.2587141,27.481941,-82.668708,1277970.53285268,-10258711.2242954,27.47695869,-82.66948571,1277910.4833341,-10258615.5391111,-82.6699149864518,27.4773415608866,27.4773415608866,-82.6699149864518,1277862.98051157,-10258605.3327676,1736.68113239957,5221.47677939884,150.932175927283,523.442264302876,"179062"
"14",17,179063,"F266",2019-06-06,20:47:47,-19,00:00:19,04:00:00,16:47:28,1,16:47:28,00:00:00,NA,50,50,NA,335,"Y","Y","Y","Y","TR",NA,NA,2,5,1,4,0.3,0.6,27.3496,-82.5993,16:47:28,16:47:29,27.35056152,-82.59871982,00:00:01,00:00:01,27.350907,-82.598749,-26,5,0.250312,22.461306,46.694808,0,8.866033,NA,27.3496,-82.5993,1285978.03672745,-10259386.4877778,27.350907,-82.598749,1286030.80236022,-10259424.1060313,27.35056152,-82.59871982,1286035.50286037,-10259420.3995619,-82.5989333824453,27.3509704700437,27.3509704700437,-82.5989333824453,1286010.84339095,-10259418.3997031,45.7673261613521,156.132942940741,20.7586761688339,19.5524090937454,"179063"
"15",18,179063,"F266",2019-06-10,15:22:52,-36,00:00:36,04:00:00,11:22:16,2,11:23:30,00:01:14,NA,50,50,NA,275,"Y","Y","Y","Y","TR",154,"beginning follow",1,4,NA,4,0.8,-0.6,27.3584,-82.5891,11:23:30,11:23:33,27.35877469,-82.5893937,00:00:03,00:01:17,27.358514,-82.589207,-26,4,0.425,0,0,0,0.44465,NA,27.3584,-82.5891,1287025.53150209,-10259871.4764367,27.358514,-82.589207,1287013.59371066,-10259869.2257188,27.35877469,-82.5893937,1286992.47953309,-10259866.1483839,-82.5898971443219,27.3588140160391,27.3588140160391,-82.5898971443219,1286938.60001324,-10259848.7191663,89.8608764229718,91.2405197307728,77.7468542700243,75.9445015363618,"179063"
"16",19,179063,"F266",2019-06-11,13:23:48,-40,00:00:40,04:00:00,09:23:08,3,09:23:13,00:00:05,NA,70,70,NA,130,"Y","Y","Y","Y","MI",289,NA,1,5,1,4,0.2,-0.8,27.3093,-82.563,09:23:13,09:23:13,27.30994776,-82.56364005,00:00:00,00:00:05,27.309253,-82.562932,-26,5,0.23625,14.093343,29.298652,0,0.476456,NA,27.3093,-82.563,1290036.09101131,-10260125.0591285,27.309253,-82.562932,1290043.56315468,-10260126.8311493,27.30994776,-82.56364005,1289964.81313045,-10260111.2158109,-82.5630983021504,27.3095416965253,27.3095416965253,-82.5630983021504,1290024.48828465,-10260124.8973087,11.6038550310333,28.4947570753821,19.1726473454843,35.9766735265625,"179063"
"17",20,179063,"F266",2019-06-12,13:07:16,-45,00:00:45,04:00:00,09:06:31,4,09:07:19,00:00:48,NA,40,40,NA,225,"Y","Y","Y","Y","MI",27,NA,1,6,2,4,0.7,-0.5,27.3495,-82.601,09:07:19,09:07:18,27.34978887,-82.60053861,00:00:01,00:00:47,27.349389,-82.601104,-26,5,0.535,19.71337,40.982124,0,3.540042,NA,27.3495,-82.601,1285797.16396718,-10259324.4648857,27.349389,-82.601104,1285786.58072161,-10259319.2297463,27.34978887,-82.60053861,1285845.05119513,-10259344.893966,-82.6008244651435,27.3495336173401,27.3495336173401,-82.6008244651435,1285815.7330905,-10259331.1890452,19.7490926809801,17.7634834894737,31.510084779957,31.9658195618916,"179063"
"18",21,179063,"F266",2019-06-12,13:17:38,-45,00:00:45,04:00:00,09:16:53,5,09:16:46,00:00:07,NA,15,15,NA,225,"Y","Y","Y","Y","PF",42,NA,1,4,NA,4,1,-1.1,27.3492,-82.6004,09:16:46,09:16:48,27.34962509,-82.60072092,00:00:02,00:00:05,27.349482,-82.600814,-26,4,-0.09,0,0,0,2.299611,NA,27.3492,-82.6004,1285862.54208856,-10259341.7486178,27.349482,-82.600814,1285817.08654041,-10259330.8532707,27.34962509,-82.60072092,1285826.35751827,-10259336.1397737,-82.6008281156747,27.3495293703199,27.3495293703199,-82.6008281156747,1285815.36321771,-10259331.0004638,48.3876912947801,55.9147181563075,1.72959734293446,5.4317012458256,"179063"
"19",22,179063,"F266",2019-06-12,13:58:05,-45,00:00:45,04:00:00,09:57:20,6,09:57:23,00:00:03,NA,25,25,350,145,"N","Y","Y","Y","SO",119,NA,1,5,1,4,0.1,-1.3,27.354,-82.6044,09:57:23,09:57:19,27.35428149,-82.60491463,00:00:04,00:00:01,27.353946,-82.60435,-26,4,-0.2875,0,0,0,1.50419,NA,27.354,-82.6044,1285413.83177691,-10259264.9591433,27.353946,-82.60435,1285419.41295848,-10259266.0018395,27.35428149,-82.60491463,1285357.64712635,-10259250.4602084,-82.6047697027257,27.3540966784079,27.3540966784079,-82.6047697027257,1285373.95431316,-10259253.0942696,41.6051359942492,38.1156387292395,47.2556218253637,44.7572153672528,"179063"
"20",24,179063,"F266",2019-06-12,14:20:00,-45,00:00:45,04:00:00,10:19:15,7,10:19:19,00:00:04,NA,30,30,NA,155,"Y","Y","Y","Y","TR",154,NA,5,6,2,4,0.2,-0.9,27.3504,-82.5991,10:19:19,10:19:19,27.35059882,-82.59908041,00:00:00,00:00:04,27.350373,-82.599075,-26,4,0.174375,0,0,0,1.142524,NA,27.3504,-82.5991,1285995.69309515,-10259404.6160387,27.350373,-82.599075,1285998.48383537,-10259405.136963,27.35059882,-82.59908041,1285996.86885531,-10259408.0470082,-82.5989522732428,27.3503534498068,27.3503534498068,-82.5989522732428,1286011.66443428,-10259409.2469041,16.6291487633403,15.5003292692611,13.8065130870743,12.3349742763033,"179063"
"21",25,179063,"F266",2019-06-12,14:30:17,-45,00:00:45,04:00:00,10:29:32,8,10:29:56,00:00:24,NA,25,25,NA,150,"Y","Y","Y","Y",NA,170,NA,1,4,NA,4,0.3,-0.8,27.3487,-82.5972,10:29:56,10:29:59,27.34865371,-82.59682543,00:00:03,00:00:27,27.348854,-82.597641,-26,4,0.17,0,0,0,1.310951,NA,27.3487,-82.5972,1286206.17351039,-10259449.0374085,27.348854,-82.597641,1286158.42541992,-10259435.4214812,27.34865371,-82.59682543,1286246.34064334,-10259461.7638,-82.5966990999008,27.3484583230195,27.3484583230195,-82.5966990999008,1286260.71417586,-10259463.5848112,56.4474190448677,56.3348589609777,106.095064691066,102.996314374198,"179063"
"22",26,179063,"F266",2019-06-12,14:50:24,-45,00:00:45,04:00:00,10:49:39,9,10:49:37,00:00:02,NA,10,10,NA,270,"Y","Y","Y","Y",NA,199,"CA 113",2,4,NA,4,1.6,-1.3,27.3532,-82.5918,10:49:37,10:49:39,27.35316678,-82.59167148,00:00:02,00:00:00,27.353184,-82.591769,-26,4,-0.33,0,0,0,1.4233,NA,27.3532,-82.5918,1286761.47452905,-10259703.5798144,27.353184,-82.591769,1286764.85477798,-10259704.4659388,27.35316678,-82.59167148,1286775.3360202,-10259707.7089695,-82.5917725483527,27.3531667799634,27.3531667799634,-82.5917725483527,1286764.55553012,-10259704.1024625,3.12501658914423,4.57469325775292,0.470812379314566,1.94016655117986,"179063"
"23",27,179063,"F266",2019-06-12,15:01:35,-45,00:00:45,04:00:00,11:00:50,10,11:00:42,00:00:08,NA,120,120,NA,180,"Y","Y","Y","Y",NA,214,NA,4,6,2,4,0.8,-1.6,27.3518,-82.5837,11:00:42,11:00:39,27.35324213,-82.58293821,00:00:03,00:00:11,27.352434,-82.583447,-26,6,-0.517344,12.78005,26.568446,0,11.268853,NA,27.3518,-82.5837,1287631.91877187,-10259973.3461413,27.352434,-82.583447,1287655.98515178,-10259991.1042473,27.35324213,-82.58293821,1287706.53336296,-10260020.3887637,-82.58293821,27.352159186392,27.352159186392,-82.58293821,1287711.52251279,-10260005.4751976,85.8430651154015,85.2376145521844,57.3665641460825,58.8352679183115,"179063"
