DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Comment,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Bad Sats,Residual,Time Error,Lat,Lon,Geoid,SatsUsed,Clk Error,CEP,R95,N/A,LocSolve.Residual
179062,179062,,,FastGPS,,,,,,,,,29-May-19,14:52:33,,,,,,,,,,,,,,27.337107,-82.578911,-26,4,0.25,0,0,0,2.844037
179062,179062,UT,5/29/2019 15:19,FastGPS,5,27.3354,-82.5763,,,,,,29-May-19,15:19:13,2,-1,,,0,5,27.3354,-82.5763,19:12.0,FastGPS,0,1.3,0,27.335437,-82.576305,-26,5,-0.04,18.895971,39.282834,0,5.174667
179062,179062,UT,5/29/2019 15:21,Argos,2,27.3226,-82.5547,265,415,168,120,,,,,,,,,,,,,,,,,,,,,,,,,
179062,179062,UT,5/29/2019 15:24,FastGPS,6,27.3355,-82.5765,,,,,,29-May-19,15:24:12,1,-1,,,0,7,27.3355,-82.5765,24:10.0,FastGPS,1,2.6,-0.9,27.335491,-82.57647,-26,6,0.054063,10.991926,22.851114,0,7.259406
179062,179062,UT,5/29/2019 15:56,Argos,1,27.3365,-82.5604,1236,2820,541,87,,,,,,,,,,,,,,,,,,,,,,,,,
179062,179062,UT,5/29/2019 16:05,FastGPS,4,27.3356,-82.5765,,,,,,29-May-19,16:05:51,1,-1,,,0,4,27.3355,-82.5765,24:10.0,FastGPS,0,0.5,0,27.335716,-82.576682,-26,4,0.005,0,0,0,0.468226
179062,179062,UT,5/29/2019 16:39,Argos,B,27.327,-82.5882,23630,27146,20567,88,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 11:53,FastGPS,5,27.3355,-82.5765,,,,,,29-May-19,11:53:46,1,,,,0,5,27.3355,-82.5765,53:45.1,FastGPS,0,2.2,-0.8,27.335622,-82.576583,-26,5,0.134375,14.481777,30.106167,0,4.669381
179063,179063,UT,5/29/2019 11:58,FastGPS,4,27.3355,-82.5763,,,,,,29-May-19,11:58:45,1,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.4,-1.1,27.335748,-82.57651,-26,4,-0.105,0,0,0,2.2421
179063,179063,UT,5/29/2019 12:04,FastGPS,4,27.3355,-82.5765,,,,,,29-May-19,12:04:41,1,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.3,-0.8,27.335748,-82.576591,-26,4,0.2,0,0,0,0.415619
179063,179063,UT,5/29/2019 12:15,FastGPS,4,27.3354,-82.5767,,,,,,29-May-19,12:15:08,1,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.3,-0.6,27.33547,-82.576686,-26,4,0.39,0,0,0,0.759686
179063,179063,UT,5/29/2019 12:24,Argos,3,27.3363,-82.5741,204,580,71,105,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 12:25,FastGPS,4,27.3329,-82.5753,,,,,,29-May-19,12:25:05,2,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.2,0.3,27.335425,-82.576189,-26,4,0.235,0,0,0,19.768727
179063,179063,UT,5/29/2019 12:30,FastGPS,4,27.3334,-82.5757,,,,,,29-May-19,12:30:03,1,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.2,-0.2,27.333485,-82.575798,-26,4,0.855,0,0,0,1.923392
179063,179063,UT,5/29/2019 12:34,FastGPS,4,27.3354,-82.5762,,,,,,29-May-19,12:35:01,2,,,,0,4,27.3353,-82.5762,05:59.9,FastGPS,0,0.4,-1.5,27.335569,-82.576328,-26,4,-0.495,0,0,0,2.227025
179063,179063,UT,5/29/2019 12:37,Argos,B,27.3364,-82.574,1578,1788,1391,92,,,,,,,,,,,,,,,,,,,,,,,,,
