Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179062,F283,5-Jun-19,20:24:29,-17,0:00:17,4:00:00,16:24:12,1,16:24:20,0:00:08,,100,,340,Y,Y,Y,Y,TR,,,4,5,,5,14.1,-0.5,27.5023,-82.7078,,0,27.5023,-82.7078,24:11.5,FastGPS,27.5023,-82.7078,,,,,15,28,5870,,,41,17,31695,,,,2,8797,,,,3,14020,,,,19,8016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,20:39:57,-17,0:00:17,4:00:00,16:39:40,1,16:39:45,0:00:05,,100,,260,Y,Y,Y,Y,TR,,,2,4,,4,0.2,-0.1,27.5064,-82.7097,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5064,-82.7097,,,,,15,17,19993,,,,2,27110,,,,6,22480,,,,19,4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,21:13:07,-17,0:00:17,4:00:00,17:12:50,1,17:11:59,0:00:51,,10,,150,Y,Y,Y,Y,TR,,,3,4,,4,0.5,-0.1,27.5126,-82.7035,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5126,-82.7035,,,,,15,17,28238,,,,19,26430,,,,12,13756,,,,6,14648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,21:28:14,-17,0:00:17,4:00:00,17:27:57,1,17:27:59,0:00:02,,40,,105,Y,Y,Y,Y,TR,,,4,4,,4,1.4,-0.4,27.5184,-82.6978,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5184,-82.6978,,,,,15,17,2361,,,39,19,6258,,,,12,20523,,,,9,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,21:43:55,-17,0:00:17,4:00:00,17:43:38,1,17:44:53,0:01:15,,300,,225,Y,Y,Y,Y,TR,,,2,5,,5,1.8,0,27.5257,-82.7004,,0,27.5257,-82.7004,43:38.0,FastGPS,27.5257,-82.7004,,,,,15,12,29393,,,42,2,30234,,,,6,18235,,,,17,12981,,,,19,22496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,22:17:24,-17,0:00:17,4:00:00,18:17:07,0,18:13:43,0:03:24,,,,,,,,,,,,3,5,1,4,0.9,-1.7,27.5269,-82.7226,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5269,-82.7226,,,,,15,5,30990,,,39,6,27717,,,,17,22754,,,,19,10530,,,,4,25728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,22:33:51,-18,0:00:18,4:00:00,18:33:33,0,,,,,,,,,,,,,,2,6,1,5,207.7,0.4,27.5284,-82.7081,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5284,-82.7081,,,,,15,17,4556,,,39,5,27830,,,,9,1601,,,,12,22222,,,,19,29904,,,,4,30290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,22:50:42,-18,0:00:18,4:00:00,18:50:24,0,,,,,,,,,,,,,,2,7,1,6,11.8,0.9,27.5313,-82.7115,,0,27.5313,-82.7115,50:24.9,FastGPS,27.5313,-82.7115,,,,,15,5,27921,,,43,12,18889,,,,2,3712,,,,17,25587,,,,9,20854,,,,4,5788,,,,19,22618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,23:06:27,-18,0:00:18,4:00:00,19:06:09,0,,,,,,,,,,,,,,2,5,1,4,19.1,-1.4,27.5278,-82.7165,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5278,-82.7165,,,,,15,5,16405,,,40,19,13453,,,,6,26772,,,,17,12936,,,,4,4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,5-Jun-19,23:21:29,-18,0:00:18,4:00:00,19:21:11,0,,,,,,,,,,,,,,6,4,,4,0.2,0.2,27.5297,-82.7163,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5297,-82.7163,,,,,15,12,4806,,,39,5,16226,,,,25,6284,,,,2,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
