"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","Comment","crwl.lon.tag","crwl.lat.tag","crwl.lon.follow","crw.lat.follow","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Dolphin.Lon","Dolphin.Lat","dist.WGS","distance","LS.distance"
"21",25,179063,"F266",2019-06-12,14:30:17,-45,00:00:45,04:00:00,10:29:32,8,10:29:56,00:00:24,NA,25,25,NA,150,"Y","Y","Y","Y",NA,170,NA,1,4,NA,4,0.3,-0.8,27.3487,-82.5972,10:29:56,10:29:59,27.34865371,-82.59682543,00:00:03,00:00:27,27.348854,-82.597641,-26,4,0.17,0,0,0,1.310951,NA,-82.596589,27.348709,-82.596769,27.348661,27.3487,-82.5972,1286206.17351039,-10259449.0374085,27.348854,-82.597641,1286158.42541992,-10259435.4214812,-82.5966426698925,27.3484656130197,60.9561536036481,60.9561536036481,107.749672377187
"22",26,179063,"F266",2019-06-12,14:50:24,-45,00:00:45,04:00:00,10:49:39,9,10:49:37,00:00:02,NA,10,10,NA,270,"Y","Y","Y","Y",NA,199,"CA 113",2,4,NA,4,1.6,-1.3,27.3532,-82.5918,10:49:37,10:49:39,27.35316678,-82.59167148,00:00:02,00:00:00,27.353184,-82.591769,-26,4,-0.33,0,0,0,1.4233,NA,-82.591689,27.353147,-82.591699,27.353132,27.3532,-82.5918,1286761.47452905,-10259703.5798144,27.353184,-82.591769,1286764.85477798,-10259704.4659388,-82.5918000683212,27.3531319999634,7.53502597594954,7.53502597594954,6.53077005028329
"23",27,179063,"F266",2019-06-12,15:01:35,-45,00:00:45,04:00:00,11:00:50,10,11:00:42,00:00:08,NA,120,120,NA,180,"Y","Y","Y","Y",NA,214,NA,4,6,2,4,0.8,-1.6,27.3518,-82.5837,11:00:42,11:00:39,27.35324213,-82.58293821,00:00:03,00:00:11,27.352434,-82.583447,-26,6,-0.517344,12.78005,26.568446,0,11.268853,NA,-82.582885,27.3532,-82.582945,27.353221,27.3518,-82.5837,1287631.91877187,-10259973.3461413,27.352434,-82.583447,1287655.98515178,-10259991.1042473,-82.582945,27.3521380563887,83.5686986624423,83.5686986624423,59.5187419986449
"24",28,179063,"F266",2019-06-12,15:36:48,-45,00:00:45,04:00:00,11:36:03,11,11:37:12,00:01:09,NA,70,70,9,235,"N","N","Y","N","TR",204,NA,2,8,NA,8,9.4,-0.8,27.3572,-82.5926,11:37:12,11:37:09,27.35748312,-82.59301267,00:00:03,00:01:06,27.35705,-82.592541,-26,8,0.19625,14.300453,29.729213,0,22.601803,"looks off. Bearing good, but tag did not clear..",-82.593,27.357188,-82.593126,27.357427,27.3572,-82.5926,1286657.73642277,-10259730.0449107,27.35705,-82.592541,1286664.71981437,-10259730.0877462,-82.5937055527241,27.3570646609876,110.406015116682,110.406015116682,115.231696837639
"25",29,179063,"F266",2019-06-14,11:52:35,-54,00:00:54,04:00:00,07:51:41,12,07:51:58,00:00:17,41,45,41,NA,315,"Y","Y","Y","Y","TR",9,"Frame 2 of Cam B - non focal",1,4,NA,4,1.5,0.1,27.3589,-82.6035,07:51:58,07:52:02,27.35868098,-82.60373597,00:00:04,00:00:21,27.358893,-82.603572,-26,4,0.095,0,0,0,1.036608,NA,-82.603715,27.358272,-82.603679,27.358596,27.3589,-82.6035,1285487.31329289,-10259364.3638789,27.358893,-82.603572,1285479.665979,-10259361.6978674,-82.6039720260601,27.3588576330294,46.9366222210567,46.9366222210567,39.771280846616
"26",30,179063,"F266",2019-06-14,12:00:30,-54,00:00:54,04:00:00,07:59:36,13,07:59:52,00:00:16,55,70,55,NA,315,"Y","Y","Y","Y","TR",18,NA,4,5,1,4,0.3,0,27.3653,-82.6059,07:59:52,07:59:52,27.36474437,-82.60595039,00:00:00,00:00:16,27.36471,-82.60671,-26,5,-0.116094,26.268598,54.609789,0,6.472323,NA,-82.605974,27.364531,-82.60603,27.364784,27.3653,-82.6059,1285201.92515819,-10259366.5579908,27.36471,-82.60671,1285118.24568066,-10259329.5391524,-82.6064231059091,27.3651349706825,54.8878804178205,54.8878804178205,54.9830606836363
"27",31,179063,"F266",2019-06-14,12:10:44,-54,00:00:54,04:00:00,08:09:50,14,08:09:14,00:00:36,NA,30,30,NA,180,"Y","Y","Y","Y","TR",31,NA,1,4,NA,4,0.5,-0.1,27.3711,-82.6099,08:09:14,08:09:12,27.37135635,-82.60974579,00:00:02,00:00:38,27.371119,-82.610093,-26,4,-0.105,0,0,0,0.676608,NA,-82.609463,27.371634,-82.609605,27.371363,27.3711,-82.6099,1284748.66399173,-10259303.3148814,27.371119,-82.610093,1284727.99315885,-10259296.6825944,-82.609605,27.3710922648167,29.1960504015739,29.1960504015739,48.3671861574452
"28",32,179063,"F266",2019-06-14,12:20:54,-54,00:00:54,04:00:00,08:20:00,15,08:20:02,00:00:02,43,NA,43,NA,185,"Y","Y","Y","Y","SO",46,NA,1,5,1,4,0.4,0.7,27.3706,-82.614,08:20:02,08:20:02,27.37118368,-82.61403096,00:00:00,00:00:02,27.370741,-82.614024,-26,5,0.70625,4.22109,8.775224,0,0.473269,"THIS is a great exemplter. Close in time and with a laser range finder distance - only 5 m differencfe",-82.61399,27.371173,-82.613985,27.371182,27.3706,-82.614,1284313.69432329,-10259150.0296666,27.370741,-82.614024,1284310.48731102,-10259151.1058971,-82.6140228833552,27.3707954228806,21.7726953891007,21.7726953891007,6.03157736855953
"29",33,179063,"F266",2019-06-14,12:53:55,-54,00:00:54,04:00:00,08:53:01,16,08:53:01,00:00:00,NA,80,80,NA,25,"Y","Y","Y","Y","TR",94,NA,1,4,NA,4,0.3,-0.3,27.3724,-82.6105,08:53:01,08:53:02,27.3726159,-82.61113912,00:00:01,00:00:01,27.372475,-82.610651,-26,4,-0.32,0,0,0,3.452502,NA,-82.611141,27.372635,-82.611141,27.372635,27.3724,-82.6105,1284678.70143032,-10259299.7196972,27.372475,-82.610651,1284662.25278801,-10259295.3552533,-82.6107992315614,27.3732893178319,102.894756237659,102.894756237659,91.4178243742564
"30",34,179063,"F266",2019-06-14,13:04:20,-54,00:00:54,04:00:00,09:03:26,17,09:03:28,00:00:02,NA,25,25,NA,175,"Y","Y","Y","Y","MI",111,NA,2,6,NA,6,4.7,-0.2,27.3728,-82.6129,09:03:28,09:03:32,27.37272277,-82.61301977,00:00:04,00:00:06,27.372778,-82.612995,-26,6,-0.198906,14.057675,29.224501,0,7.132944,NA,-82.612973,27.37276,-82.612996,27.372748,27.3728,-82.6129,1284420.90592349,-10259219.4844842,27.372778,-82.612995,1284410.87532311,-10259215.7896247,-82.6129739744514,27.3725232459151,31.5280020146358,31.5280020146358,28.3056737614468
"31",35,179063,"F266",2019-06-14,14:07:42,-54,00:00:54,04:00:00,10:06:48,18,10:06:42,00:00:06,NA,45,45,NA,165,"Y","Y","Y","Y","MI",222,NA,1,5,1,4,0.5,0.3,27.3691,-82.6074,10:06:42,10:06:42,27.36930714,-82.60686007,00:00:00,00:00:06,27.368977,-82.607118,-26,4,0.296953,0,0,0,2.406708,NA,-82.606893,27.369315,-82.606848,27.369302,27.3691,-82.6074,1285024.48213396,-10259365.1540013,27.368977,-82.607118,1285055.12333036,-10259373.5364754,-82.6067302704845,27.3689097346726,69.5291461827921,69.5291461827921,39.0751421295824
"32",36,179063,"F266",2019-06-14,14:17:53,-54,00:00:54,04:00:00,10:16:59,19,10:17:01,00:00:02,NA,7,7,NA,10,"Y","Y","Y","Y","PF",241,NA,2,4,NA,4,0.1,0.2,27.3682,-82.6046,10:17:01,10:17:02,27.36881076,-82.60547446,00:00:01,00:00:03,27.368736,-82.605303,-26,4,0.075,0,0,0,0.725119,NA,-82.605463,27.3688,-82.605456,27.368807,27.3682,-82.6046,1285327.24653509,-10259452.7899176,27.368736,-82.605303,1285249.80550636,-10259435.0440546,-82.6054437130321,27.3688692118459,111.650559204646,111.650559204646,20.2897477276126
"33",37,179063,"F266",2019-06-14,14:28:26,-54,00:00:54,04:00:00,10:27:32,20,10:27:34,00:00:02,NA,7,7,NA,225,"Y","Y","Y","Y","TR",258,NA,2,5,1,4,1,0,27.3736,-82.6087,10:27:34,10:27:32,27.37368467,-82.60856923,00:00:02,00:00:00,27.37278,-82.608348,-26,4,0.000469,0,0,0,2.031045,NA,-82.608544,27.373703,-82.608555,27.373702,27.3736,-82.6087,1284865.15632309,-10259380.4764917,27.37278,-82.608348,1284906.46537772,-10259381.7976834,-82.6086050354934,27.3736573309805,11.3407169745899,11.3407169745899,100.486819490221
"34",38,179063,"F266",2019-06-14,14:49:12,-54,00:00:54,04:00:00,10:48:18,21,10:48:14,00:00:04,NA,65,65,NA,300,"Y","Y","Y","Y","MI",NA,NA,1,4,NA,4,1,-0.6,27.3733,-82.6111,10:48:14,10:48:12,27.37298571,-82.61062916,00:00:02,00:00:06,27.373245,-82.611211,-26,4,-0.59,0,0,0,0.815871,NA,-82.610613,27.373054,-82.610621,27.373062,27.3733,-82.6111,1284610.57716785,-10259290.6347365,27.373245,-82.611211,1284598.99181298,-10259285.9155394,-82.6111900336558,27.3733552952055,10.8106489783948,10.8106489783948,12.3964913171632
"35",40,179064,"F264",2019-06-06,20:36:56,-19,00:00:19,04:00:00,16:36:37,1,16:38:07,00:01:30,20,NA,20,NA,240,"Y","Y","Y","Y",NA,NA,NA,1,6,NA,6,9.4,-1.8,27.3403,-82.5908,16:38:07,16:38:09,27.34169522,-82.59287302,00:00:02,00:01:32,27.340719,-82.590931,-26,6,-0.775586,15.692347,32.622819,0,11.416673,NA,-82.590958,27.340487,-82.59279,27.34167,27.3403,-82.5908,1286927.48750337,-10259561.7971684,27.340719,-82.590931,1286911.58627018,-10259562.8900608,-82.5929650373104,27.3415797544465,256.919780271478,256.919780271478,222.730711588462
